Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,TSLA
2022-08-23,9225.97,7841.34,7852.87,9875.33,7304.23,8312.06,7412.69
2022-08-24,9242.53,7851.91,7841.15,9842.64,7321.94,8292.51,7428.78
2022-08-25,9380.45,8056.13,8045.3,9934.78,7495.82,8384.52,7403.11
2022-08-26,9026.82,7672.92,7610.1,9764.77,7250.49,8060.99,7203.57
2022-08-29,8903.24,7616.58,7546.65,9689.27,7232.78,7974.99,7121.81
2022-08-30,8766.97,7554.38,7513.54,9655.39,7234.05,7907.04,6943.77
2022-08-31,8673.73,7439.36,7463.89,9590.6,7191.05,7861.94,6891.51
2022-09-01,8714.56,7500.98,7568.72,9828.37,7240.37,7829.76,6930.27
2022-09-02,8595.94,7482.78,7438.37,9673.82,7189.79,7699.27,6756.49
2022-09-06,8525.33,7400.63,7366.64,9699.98,7191.69,7614.78,6861.76
2022-09-07,8604.22,7598.39,7548.72,9752.88,7328.26,7760.3,7093.8
2022-09-08,8521.47,7618.34,7474.92,9831.35,7498.98,7773.23,7232.83
2022-09-09,8682.01,7820.8,7631.48,9850.37,7535.02,7951.84,7493.37
2022-09-12,9016.33,8007.42,7645.96,9846.2,7624.17,8017.69,7611.9
2022-09-13,8487.26,7442.29,7194.9,9590.0,7359.24,7576.89,7304.59
2022-09-14,8568.36,7543.82,7241.8,9787.95,7342.17,7583.81,7566.64
2022-09-15,8406.16,7410.6,7097.66,9812.92,7452.82,7378.14,7595.14
2022-09-16,8314.03,7249.22,7090.07,9962.72,7402.87,7358.9,7585.14
2022-09-19,8522.57,7315.53,7108.69,9884.25,7471.16,7352.28,7728.17
2022-09-20,8656.08,7170.59,6975.58,9806.38,7323.84,7290.04,7719.67
2022-09-21,8480.64,6956.39,6847.3,9705.92,7112.65,7184.8,7521.38
2022-09-22,8426.57,6884.21,6906.61,9878.3,7031.72,7245.84,7216.07
2022-09-23,8299.13,6677.05,6810.05,9910.4,6900.83,7153.83,6884.51
2022-09-26,8317.89,6757.45,6770.74,9849.77,6752.24,7139.7,6901.52
